ns,assignee,clicks,rot_deg,pan_vox,zoom,rot_per_click,pan_per_click,effort_before_click
somaSomaReview,U08,4,0.0132014248078556,362.64763302431214,0.26,0.0033003562019639,90.66190825607804,0.9099194387627444
fullyProofread,S10,15,0.0,0.0,0.0,0.0,0.0,0.0
fullyProofread,S10,9,0.021730916145757,70346.88830076708,0.0,0.0024145462384174,7816.320922307454,78.16562376931296
fullyProofread,S10,8,0.0253252836951227,0.0,4.07,0.0031656604618903,0.0,0.0
fullyProofread,S10,9,0.0,0.0,0.0,0.0,0.0,0.0
fullyProofread,S10,9,734.6020845973741,0.0,0.0,81.62245384415267,0.0,81.61840761025509
fullyProofread,S10,10,0.0190376468755889,0.0,0.0,0.0019037646875588,0.0,0.0
fullyProofread,S10,10,0.0,0.0,0.0,0.0,0.0,0.0
fullyProofread,S10,15,0.0,0.0,4.54,0.0,0.0,0.0
fullyProofread,S02,15,0.0364422853124431,208862947809378.0,3.17,0.0024294856874962,13924196520625.2,69620982654.17067
fullyProofread,S10,8,0.0909688387862798,0.0,0.75,0.0113711048482849,0.0,0.0113711048482849
fullyProofread,S02,16,0.0,0.0,2.88,0.0,0.0,0.0
fullyProofread,S10,8,0.1264763205214782,0.0,0.0,0.0158095400651847,0.0,0.0118571550488885
fullyProofread,S02,7,0.0,15367.512963343412,1.18,0.0,2195.3589947633445,21.953589947633446
fullyProofread,S10,7,0.0,12894.128380334703,5.14,0.0,1842.0183400478147,0.0
fullyProofread,S02,5,0.1856434529029263,0.0,1.11,0.0371286905805852,0.0,0.0371286905805852
fullyProofread,S02,6,0.0334542219608633,5341.398563474889,0.75,0.0055757036601438,890.2330939124814,0.0055757036601438
fullyProofread,S10,12,0.0,0.0,0.0,0.0,0.0,0.0
fullyProofread,S02,15,0.0,0.0,1.17,0.0,0.0,0.0
fullyProofread,S10,8,0.0441297587385326,0.0,2.83,0.0055162198423165,0.0,0.0055162198423165
fullyProofread,S02,22,10.664752237411737,0.0,0.96,0.484761465336897,0.0,0.0012630992235461
fullyProofread,S10,8,0.0,0.0,0.0,0.0,0.0,0.0
fullyProofread,S02,6,0.3193069114042782,9484.239200135513,2.53,0.0532178185673797,1580.7065333559187,15.85402429036094
