assignee,cohort,promoted,n_pts,acc,err,dur
S26,student,1,8,1.0,0,108.41270971298218
S26,student,1,8,1.0,0,141.72928929328918
S26,student,1,8,1.0,0,98.84499454498292
S26,student,1,8,1.0,0,92.43443894386292
S26,student,1,8,1.0,0,89.22364473342896
S28,student,0,8,1.0,0,129.8466112613678
S28,student,0,7,1.0,0,180.4728741645813
S28,student,0,8,1.0,0,98.71259450912476
S28,student,0,8,1.0,0,144.63238096237183
S28,student,0,8,1.0,0,87.2912003993988
S28,student,0,8,1.0,0,164.2065072059631
S28,student,0,8,1.0,0,132.57474851608276
S28,student,0,8,1.0,0,561.340413570404
S28,student,0,8,1.0,0,1178.240618467331
S28,student,0,8,1.0,0,105.19871926307678
S28,student,0,8,1.0,0,188.46814131736755
S28,student,0,8,1.0,0,310.7103445529938
S28,student,0,8,1.0,0,643.1680750846863
S28,student,0,8,1.0,0,353.60569739341736
S28,student,0,8,1.0,0,135.7698311805725
S28,student,0,8,1.0,0,79.87263512611389
S28,student,0,8,1.0,0,77.24882793426514
S28,student,0,8,1.0,0,108.43192768096924
S28,student,0,8,1.0,0,530.5420184135437
S28,student,0,8,0.875,1,99.70626664161682
S28,student,0,8,1.0,0,119.65406012535097
S28,student,0,8,0.875,1,115.60694789886476
S28,student,0,8,1.0,0,120.60904335975648
S28,student,0,8,1.0,0,136.95633912086487
S28,student,0,8,1.0,0,103.69704914093018
S28,student,0,8,1.0,0,216.35100841522217
S28,student,0,8,1.0,0,234.54726028442383
S30,student,1,8,1.0,0,343.9735770225525
S30,student,1,7,1.0,0,306.42484974861145
