assignee,cohort,promoted,seg_id,n_pts,acc,err,dur,f_spine,f_nucleus,f_dendrite,f_axon,f_soma
E06,expert,0,864691135517422218,7,0.7142857142857143,1,869.1626889705658,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.1428571428571428
E06,expert,0,864691135753932237,8,0.5,1,552.7478497028351,0.25,0.125,0.25,0.25,0.125
E06,expert,0,864691135367058169,8,0.875,1,726.6044409275055,0.375,0.125,0.125,0.25,0.125
E06,expert,0,864691135293126156,9,0.6666666666666666,1,662.8436226844788,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.1111111111111111
E06,expert,0,864691136134678667,8,0.75,1,186.21969318389893,0.25,0.125,0.25,0.25,0.125
E06,expert,0,864691135974639471,8,0.75,1,228.6568772792816,0.25,0.125,0.25,0.25,0.125
E06,expert,0,864691135953898760,7,0.8571428571428571,1,281.3638837337494,0.2857142857142857,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.1428571428571428
E07,expert,0,864691135104203853,8,1.0,0,707.3169317245483,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691135517422218,7,0.8571428571428571,1,198.23477125167847,0.2857142857142857,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.1428571428571428
E07,expert,0,864691135753932237,8,1.0,0,259.1137201786041,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691135367058169,8,1.0,0,795.9973356723785,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691135293126156,8,1.0,0,114.13741207122804,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691136134678667,8,1.0,0,275.5644037723541,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691135974639471,8,1.0,0,115.17118883132936,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691135953898760,8,1.0,0,107.29962754249571,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691135293324812,8,1.0,0,104.84986758232117,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691135609687047,8,1.0,0,165.99837160110474,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691136951664863,8,1.0,0,119.61947107315063,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691136008689326,8,1.0,0,149.7810263633728,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691136023889209,8,1.0,0,261.6335525512696,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691135564752471,8,1.0,0,219.30148434638977,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691136011067043,7,1.0,0,147.2103350162506,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.1428571428571428
E07,expert,0,864691135584074360,8,1.0,0,184.88681411743164,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691135915343462,8,1.0,0,200.75886607170105,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691135462420637,8,1.0,0,122.97061109542848,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691135775906989,8,1.0,0,264.57259488105774,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691136925601354,8,0.875,1,618.5591187477112,0.375,0.125,0.125,0.25,0.125
E07,expert,0,864691135415666362,8,1.0,0,469.461403131485,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691136378859477,8,0.875,1,221.6864414215088,0.375,0.125,0.125,0.25,0.125
E07,expert,0,864691136309871706,8,1.0,0,244.12860465049744,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691135772053835,8,1.0,0,224.28771877288816,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691135937286404,8,1.0,0,294.35068249702454,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691136812081779,8,1.0,0,142.69657611846924,0.25,0.125,0.25,0.25,0.125
E07,expert,0,864691135609594119,8,1.0,0,103.53482294082642,0.25,0.125,0.25,0.25,0.125
E08,expert,0,864691135104203853,8,1.0,0,151.78153109550476,0.25,0.125,0.25,0.25,0.125
E08,expert,0,864691135517422218,7,0.8571428571428571,1,121.9717137813568,0.2857142857142857,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.1428571428571428
